id,birthdate
firstbones,1970-01-01
forester,1970-01-01
gLory,1970-01-01
gaR,1970-01-01
ghettowarmachine420,1970-01-01
glock in my toyota,1970-01-01
gyaki,1970-01-01
hamyojo,1970-01-01
hipstur,1970-01-01
htwa,1970-01-01
huto,1970-01-01
hydra,1970-01-01
iBDW,1995-01-15
iModerz,1970-01-01
iPunchKidsz,1970-01-01
ikep,1970-01-01
ilovebagelz,1970-01-01
k y s k,1970-01-01
kensinn21,1970-01-01
kept,1970-01-01
king_chris,1970-01-01
kiw1,1970-01-01
kkp,1970-01-01
kodo,1970-01-01
komorikiri,1990-05-23
koukin,1970-01-01
lain,1970-01-01
lint,1995-04-20
lloD,1970-01-01
m3gav01t,1970-01-01
mZuzek,1970-01-01
maXy,1970-01-01
maha,1970-01-01
marcpq,1998-01-09
max,1970-01-01
mayb,1997-10-16
meipon,1970-01-01
metroid,1970-01-01
mjGrealy,1970-01-01
moky,1999-06-13
mordo,1970-01-01
moshy45,1970-01-01
moxi,2003-04-13
mucci,1997-06-11
muro,1970-01-01
n0ne,1970-01-01
nagaimo,1970-01-01
nao,1970-01-01
nebbii,1997-02-18
niyaty,1970-01-01
nothing,1970-01-01
null,1970-01-01
otek,1970-01-01
peki,1970-01-01
phL,1970-01-01
pheX,1970-01-01
pidgezero_one,1989-07-21
porc,1970-01-01
prof,1970-01-01
prog,1986-12-24
quiK,1991-07-22
raoul,1995-08-12
reaper,1970-01-01
rohan doge,1970-01-01
s-royal,1970-01-01
salami,1970-01-01
sekirei,1970-01-01
seo,1990-01-09
sextc,1970-01-01
shabo,1970-01-01
shake,1970-01-01
shizuku,1970-01-01
shky,1970-01-01
shuta,1970-01-01
sisqui,1999-09-11
skullbro,1970-01-01
smasher1001,1988-12-25
soccermom69,1970-01-01
squible,1970-01-01
stingers,1970-01-01
supa,1970-01-01
tacos,1970-01-01
taranito,1970-01-01
th0rn,1970-01-01
theWaz,1995-11-27
theunabletable,1970-01-01
thisNeko,1970-01-01
tk3,1970-01-01
tomo,1970-01-01
totally butts,1970-01-01
tyroy,1997-06-17
varun,1970-01-01
ven,1995-12-10
voff3,1970-01-01
vortex,1996-05-24
vyQ,1970-01-01
wario,1970-01-01
wusi,1970-01-01
xXBuntaiFan94000Xx,1970-01-01
ycz6,1970-01-01
yuzu,1970-01-01
zael,1999-12-21
zaki,1970-01-01
zetts,1970-01-01
~CP9~,1970-01-01
ΩRugal,1970-01-01
